! ConsToPrim(): p(E) < 0 (-5.21e+05),   @step = 37493 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-6.92e+04),   @step = 37494 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-2.21e+04),   @step = 37494 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-3.43e+05),   @step = 37495 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-1.36e+04),   @step = 37495 (stage = 3); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-6.69e+01),   @step = 55894 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-1.67e+01),   @step = 55897 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-2.46e+01),   @step = 55901 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-8.94e+01),   @step = 55904 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-4.24e+01),   @step = 55907 (stage = 1); [i = 4], [x1 = 1.948750]
! ConsToPrim(): p(E) < 0 (-5.96e+04),   @step = 210705 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-2.84e+04),   @step = 210705 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-1.41e+05),   @step = 210706 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-7.14e+04),   @step = 210706 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-2.18e+05),   @step = 210707 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-1.08e+05),   @step = 210707 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-3.59e+05),   @step = 210708 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-1.19e+05),   @step = 210708 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-5.09e+05),   @step = 210709 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-4.15e+04),   @step = 210709 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-1.09e+05),   @step = 210710 (stage = 1); [i = 8], [x1 = 2.138750]
