! ConsToPrim(): p(E) < 0 (-5.64e+03),   @step = 37434 (stage = 2); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-1.56e+05),   @step = 37434 (stage = 3); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-3.92e+05),   @step = 37435 (stage = 1); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-1.10e+04),   @step = 37435 (stage = 2); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-2.18e+05),   @step = 37435 (stage = 3); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-6.29e+05),   @step = 37436 (stage = 1); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-2.73e+05),   @step = 37436 (stage = 3); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-6.82e+05),   @step = 37437 (stage = 1); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-2.65e+05),   @step = 37437 (stage = 3); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-3.24e+05),   @step = 37438 (stage = 1); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-8.11e+03),   @step = 37438 (stage = 2); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-1.66e+05),   @step = 37438 (stage = 3); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-3.17e+05),   @step = 37439 (stage = 1); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-1.34e+05),   @step = 37439 (stage = 3); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-1.50e+05),   @step = 37440 (stage = 1); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-3.62e+04),   @step = 37440 (stage = 3); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-2.61e+05),   @step = 37441 (stage = 1); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-5.05e+03),   @step = 37441 (stage = 3); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-1.43e+01),   @step = 55881 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-4.50e+01),   @step = 55884 (stage = 1); [i = 6], [x1 = 2.281250]
! ConsToPrim(): p(E) < 0 (-2.30e+00),   @step = 55887 (stage = 1); [i = 5], [x1 = 2.233750]
! ConsToPrim(): p(E) < 0 (-2.49e+01),   @step = 55891 (stage = 1); [i = 4], [x1 = 2.186250]
! ConsToPrim(): p(E) < 0 (-9.50e+04),   @step = 210667 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-4.94e+04),   @step = 210667 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.57e+05),   @step = 210668 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-7.79e+04),   @step = 210668 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-2.48e+05),   @step = 210669 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-9.28e+04),   @step = 210669 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.01e+05),   @step = 210670 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-4.70e+04),   @step = 210670 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-3.81e+05),   @step = 210671 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.75e+02),   @step = 210671 (stage = 2); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-3.41e+04),   @step = 210671 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-6.89e+04),   @step = 210672 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-2.63e+04),   @step = 210672 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-7.65e+04),   @step = 210673 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.59e+04),   @step = 210673 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-7.68e+04),   @step = 210675 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-3.54e+04),   @step = 210675 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.41e+05),   @step = 210676 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-6.98e+04),   @step = 210676 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-2.24e+05),   @step = 210677 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-8.49e+04),   @step = 210677 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-9.27e+04),   @step = 210678 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-4.35e+04),   @step = 210678 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-9.22e+04),   @step = 210679 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-3.95e+04),   @step = 210679 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.90e+05),   @step = 210680 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.58e+04),   @step = 210680 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-4.60e+04),   @step = 210681 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.46e+03),   @step = 210681 (stage = 3); [i = 7], [x1 = 2.328750]
